Timestamp,Age,Gender,Current Job Title,Industry,Year of Experience Current Field,Highest Level of Education,Field of Study,Additional Certifications or Trainings,Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Technical Skills],Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Analytical Skills],Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Management Skills],Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Communication Skills],Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Creative Skills],Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Interpersonal Skills],Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Problem Solving Skills],Primary Skills required (leave empty if not required) for the current job and your proficiency (Rate from 1[low] - 5[high]) [Leadership Skills],How did you acquire these skills [Technical Skills],How did you acquire these skills [Analytical Skills],How did you acquire these skills [Management Skills],How did you acquire these skills [Communication Skills],How did you acquire these skills [Creative Skills],How did you acquire these skills [Interpersonal Skills],How did you acquire these skills [Problem Solving Skills],How did you acquire these skills [Leadership Skills],Are their Skills required in your current job that you feel you lack?,"If the answer to above question is Yes, What are they?","Rate the Impact (1-low, 5-high) of these lacking skill gap in your work?",Have you received any training from your current employer?,"If yes, was this training effective in enhancing your skills? (Conditional)
",What additional training or skills development do you think would benefit you?,Are there any new skills you believe will be essential for your job in the next 5 years?,Do you have plans to acquire these skills?,How do you plan to acquire these skills? (Conditional),Additional Comments
2/15/2024 17:54:09,28,Male,Senior Software Engineer,Information Technology,6,Bachelor's Degree,Computer Science,No,4,4,4,4,2,2,4,4,On the Job Training,On the Job Training,Mentorship,Self Taught,Self Taught,Self Taught,Mentorship,Mentorship,Yes,"Communication Skills, Interpersonal Skills, Leadership Skills",4,Yes,No,"Management Training, Creative Training",Management Skills,Yes,Workplace Training,Aquiring New Skills in Very Hard and Can't be done from one source
2/15/2024 18:49:36,25,Female,Software engineer ,Information Technology,1,Bachelor's Degree,Computer Science,Yes,1,2,1,2,3,2,2,3,On the Job Training,Self Taught,Self Taught,Self Taught,On the Job Training,Self Taught,Formal Education,Self Taught,Yes,Communication Skills,1,No,,"Technical Training, Problem-Solving Training",Leadership Skills,Yes,Workplace Training,
2/15/2024 18:50:46,24,Female,System Administrator,Information Technology,4,Bachelor's Degree,Computer Science,No,5,4,2,3,2,2,4,3,On the Job Training,Self Taught,Self Taught,Online Courses,Other,Mentorship,Self Taught,Formal Education,Yes,Communication Skills,3,No,No,"Communication Training, Interpersonal Skills Training, Leadership Training",Communication Skills,Yes,Further Education,
2/15/2024 21:12:26,28,Female,Management Assistent,Education,2,Bachelor's Degree,Business,Yes,4,4,4,4,3,4,4,4,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Self Taught,Self Taught,Self Taught,Self Taught,Yes,"Technical Skills, Analytical Skills, Creative Skills, Problem Solving Skills, Leadership Skills",3,Yes,Yes,"Technical Training, Analytical Training, Interpersonal Skills Training, Leadership Training",Technical Skills,Yes,Self Study,
2/15/2024 21:17:06,30,Male,Chashier ,Retail,5,High School or Below,Business,No,2,1,3,4,3,3,3,3,Formal Education,Formal Education,Self Taught,Self Taught,Self Taught,Self Taught,On the Job Training,Self Taught,Yes,"Technical Skills, Analytical Skills, Creative Skills",4,Yes,Yes,"Technical Training, Management Training, Interpersonal Skills Training","Technical Skills, Analytical Skills, Management Skills, Leadership Skills",Yes,"Online Courses, Workplace Training",
2/15/2024 21:21:46,33,Male,Business Analyst,Information Technology,5,Master's Degree,Computer Science,Yes,3,4,3,5,3,4,4,4,Formal Education,On the Job Training,On the Job Training,Self Taught,Other,Mentorship,On the Job Training,Mentorship,Yes,"Technical Skills, Analytical Skills, Communication Skills, Problem Solving Skills, Leadership Skills",4,No,,"Technical Training, Communication Training","Management Skills, Interpersonal Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study",
2/15/2024 21:21:54,23,Female,Bank Assistent,Finance and Banking,1,High School or Below,Arts,No,4,4,4,4,3,3,3,3,Formal Education,On the Job Training,On the Job Training,Self Taught,Self Taught,Self Taught,Self Taught,On the Job Training,Yes,"Technical Skills, Analytical Skills, Management Skills, Leadership Skills",4,Yes,Yes,"Technical Training, Analytical Training, Communication Training, Interpersonal Skills Training, Leadership Training","Technical Skills, Analytical Skills, Interpersonal Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study",
2/15/2024 21:26:36,26,Male,lecturer,Education,5,Master's Degree,Law,Yes,4,4,4,5,4,5,5,4,Online Courses,Self Taught,Online Courses,Self Taught,Self Taught,Self Taught,On the Job Training,On the Job Training,Yes,"Creative Skills, Interpersonal Skills, Leadership Skills",2,Yes,Yes,"Analytical Training, Interpersonal Skills Training, Leadership Training","Technical Skills, Analytical Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 21:29:27,40,Male,Manager,Information Technology,12,Master's Degree,Business,Yes,3,4,3,4,2,4,4,5,Formal Education,On the Job Training,Mentorship,Self Taught,Other,Mentorship,Self Taught,Mentorship,Yes,"Communication Skills, Creative Skills",2,No,No,"Technical Training, Management Training, Interpersonal Skills Training, Problem-Solving Training, Leadership Training","Management Skills, Communication Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Workplace Training, Self Study",
2/15/2024 21:33:20,32,Male,Finance Executive ,Finance and Banking,4,Master's Degree,Business,No,4,4,4,4,2,4,3,3,On the Job Training,On the Job Training,Online Courses,Online Courses,Self Taught,Self Taught,On the Job Training,On the Job Training,No,,2,Yes,Yes,"Technical Training, Analytical Training, Communication Training, Interpersonal Skills Training, Leadership Training","Technical Skills, Analytical Skills, Interpersonal Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 21:37:22,25,Female,Quality Supervisor,Fashion and Apparel,2,Bachelor's Degree,Arts,No,3,4,3,4,3,3,3,3,On the Job Training,On the Job Training,Self Taught,Self Taught,Self Taught,On the Job Training,On the Job Training,Formal Education,Yes,"Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Problem Solving Skills, Leadership Skills",3,Yes,Yes,"Technical Training, Analytical Training, Interpersonal Skills Training, Problem-Solving Training, Leadership Training","Technical Skills, Analytical Skills, Communication Skills, Interpersonal Skills",Yes,"Further Education, Online Courses, Self Study",
2/15/2024 21:39:59,27,Male,Marketing Lead,Information Technology,5,Bachelor's Degree,Business,No,3,4,4,3,4,4,4,3,Self Taught,Self Taught,Formal Education,On the Job Training,Online Courses,Mentorship,On the Job Training,Self Taught,Yes,"Communication Skills, Interpersonal Skills, Leadership Skills",3,No,No,"Management Training, Communication Training, Interpersonal Skills Training","Communication Skills, Interpersonal Skills",Yes,"Workplace Training, Self Study",
2/15/2024 21:41:44,35,Female,HR Maneger ,Hospitality and Tourism,10,Master's Degree,Business,Yes,4,4,4,4,2,4,4,4,On the Job Training,On the Job Training,Self Taught,On the Job Training,Self Taught,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Leadership Skills",2,Yes,Yes,"Technical Training, Analytical Training, Leadership Training","Technical Skills, Analytical Skills, Management Skills, Problem-Solving Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 21:44:48,28,Male,Marketing Executive ,Transportation & Logistics,3,Bachelor's Degree,Business,No,4,4,4,4,3,4,3,3,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Self Taught,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Communication Skills, Problem Solving Skills, Leadership Skills",3,Yes,Yes,"Technical Training, Analytical Training, Communication Training","Technical Skills, Analytical Skills, Communication Skills, Leadership Skills",Yes,"Further Education, Online Courses, Workplace Training, Self Study",
2/15/2024 21:47:21,29,Male,QA Engineer,Information Technology,5,Bachelor's Degree,Computer Science,No,2,3,2,3,2,4,4,3,On the Job Training,On the Job Training,Self Taught,Online Courses,Other,On the Job Training,Formal Education,Mentorship,Yes,"Management Skills, Creative Skills, Problem Solving Skills",3,Yes,Yes,"Communication Training, Problem-Solving Training","Analytical Skills, Problem-Solving Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 21:48:44,34,Female,Teacher ,Education,9,Bachelor's Degree,Arts,No,3,3,2,4,4,4,4,4,Formal Education,Formal Education,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Management Skills",3,Yes,Yes,"Technical Training, Analytical Training, Communication Training, Creative Training, Interpersonal Skills Training, Leadership Training","Technical Skills, Analytical Skills, Interpersonal Skills",Yes,"Online Courses, Self Study, Workshops and Seminars",
2/15/2024 21:52:06,24,Male,IT Support Officer,Fashion and Apparel,1,Bachelor's Degree,Computer Science,Yes,5,4,3,4,4,3,3,3,Formal Education,On the Job Training,Self Taught,Self Taught,Self Taught,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Management Skills, Interpersonal Skills, Leadership Skills",3,Yes,Yes,"Technical Training, Analytical Training, Management Training, Communication Training, Interpersonal Skills Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 21:57:00,30,Female,Fashion Designer ,Textiles,8,Master's Degree,Business,Yes,4,4,4,4,5,4,4,4,Online Courses,Online Courses,Online Courses,Online Courses,Online Courses,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Problem Solving Skills",2,Yes,Yes,"Technical Training, Analytical Training, Management Training, Communication Training, Creative Training, Interpersonal Skills Training, Leadership Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Creative Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Online Courses, Self Study, Mentorship",
2/15/2024 22:05:14,33,Female,Web Developer ,Information Technology,8,Master's Degree,Computer Science,Yes,5,5,4,4,5,4,3,3,Online Courses,On the Job Training,On the Job Training,Online Courses,Online Courses,On the Job Training,On the Job Training,On the Job Training,No,"Technical Skills, Analytical Skills, Communication Skills, Interpersonal Skills",2,Yes,Yes,"Technical Training, Analytical Training","Technical Skills, Analytical Skills, Communication Skills, Creative Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:09:21,24,Male,IT Administrator,Information Technology,3,Vocation Training,Computer Science,No,4,3,2,3,3,4,5,4,Self Taught,Online Courses,On the Job Training,Self Taught,Online Courses,Self Taught,On the Job Training,Self Taught,Yes,"Analytical Skills, Communication Skills, Interpersonal Skills",3,Yes,Yes,"Technical Training, Interpersonal Skills Training, Problem-Solving Training","Management Skills, Interpersonal Skills",No,,
2/15/2024 22:10:36,36,Male,Event Planner,Media and ENtertainment,12,Bachelor's Degree,Arts,Yes,3,4,4,5,5,5,4,4,Formal Education,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Creative Skills, Leadership Skills",2,Yes,Yes,"Technical Training, Analytical Training, Creative Training","Analytical Skills, Management Skills, Communication Skills, Creative Skills, Interpersonal Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:17:45,23,Female,Marketing Intern,Media and ENtertainment,2,Bachelor's Degree,Business,Yes,2,2,3,3,4,3,3,3,On the Job Training,Self Taught,Online Courses,Self Taught,On the Job Training,Online Courses,Mentorship,Self Taught,Yes,"Technical Skills, Creative Skills",3,Yes,Yes,"Communication Training, Creative Training, Problem-Solving Training","Management Skills, Communication Skills",Yes,"Further Education, Online Courses, Workplace Training",
2/15/2024 22:17:46,31,Female,Civil Engineer ,Construction,6,Master's Degree,Engineering,Yes,3,4,3,4,4,3,3,3,On the Job Training,Online Courses,Self Taught,On the Job Training,Online Courses,Self Taught,On the Job Training,On the Job Training,Yes,"Analytical Skills, Communication Skills, Creative Skills, Interpersonal Skills",3,Yes,Yes,"Technical Training, Management Training, Interpersonal Skills Training","Technical Skills, Analytical Skills, Creative Skills, Interpersonal Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars, Mentorship",
2/15/2024 22:21:33,39,Female,Operation Manager ,Transportation & Logistics,10,Master's Degree,Business,Yes,3,4,4,4,3,4,4,4,Formal Education,On the Job Training,Online Courses,Online Courses,Online Courses,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills",3,Yes,Yes,"Technical Training, Analytical Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:23:38,35,Female,Lawyer,Legal Services,8,Master's Degree,Law,Yes,2,4,4,5,4,4,5,4,,Formal Education,Self Taught,On the Job Training,Other,Mentorship,On the Job Training,Mentorship,Yes,"Communication Skills, Creative Skills, Problem Solving Skills",2,No,,"Analytical Training, Communication Training, Interpersonal Skills Training","Analytical Skills, Creative Skills, Leadership Skills",Yes,"Self Study, Workshops and Seminars",
2/15/2024 22:26:35,42,Male,Doctor ,Healthcare,15,Doctorate,Healthcare,Yes,4,4,3,4,3,3,3,3,Formal Education,Formal Education,On the Job Training,Online Courses,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Yes,"Communication Skills, Interpersonal Skills",2,Yes,Yes,"Technical Training, Analytical Training, Interpersonal Skills Training","Technical Skills, Analytical Skills, Communication Skills, Interpersonal Skills",Yes,"Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:28:23,41,Male,Businessman,Retail,23,High School or Below,Business,No,2,3,4,4,3,3,3,3,Self Taught,Self Taught,Self Taught,On the Job Training,Formal Education,Mentorship,On the Job Training,Self Taught,Yes,"Problem Solving Skills, Leadership Skills",2,No,,"Management Training, Problem-Solving Training","Management Skills, Communication Skills",Yes,"Workplace Training, Self Study",
2/15/2024 22:31:43,31,Male,Internal Auditor ,Finance and Banking,6,Master's Degree,Business,Yes,4,5,3,3,3,3,3,3,Formal Education,Online Courses,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Management Skills, Communication Skills, Interpersonal Skills",3,Yes,Yes,"Technical Training, Management Training, Communication Training, Interpersonal Skills Training","Technical Skills, Analytical Skills, Communication Skills, Interpersonal Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:34:25,35,Female,Accountant,Finance and Banking,10,Master's Degree,Business,No,4,4,3,3,3,4,3,3,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Leadership Skills",3,Yes,Yes,"Technical Training, Analytical Training, Management Training, Communication Training, Interpersonal Skills Training, Problem-Solving Training, Leadership Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:35:05,38,Male,Nurse,Healthcare,11,Bachelor's Degree,Healthcare,No,4,3,3,3,2,4,4,4,Formal Education,On the Job Training,On the Job Training,Self Taught,Other,Mentorship,Formal Education,On the Job Training,Yes,"Management Skills, Interpersonal Skills",2,Yes,Yes,"Technical Training, Problem-Solving Training, Leadership Training","Technical Skills, Creative Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars, Mentorship",
2/15/2024 22:36:57,27,Female,Data Scientist,Information Technology,3,Master's Degree,Computer Science,Yes,4,4,3,4,3,4,3,3,Online Courses,Online Courses,On the Job Training,Online Courses,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Analytical Skills, Interpersonal Skills",3,Yes,Yes,"Technical Training, Analytical Training, Management Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars, Mentorship",
2/15/2024 22:39:42,32,Male,Audit Manager,Finance and Banking,13,Bachelor's Degree,Business,Yes,3,4,4,4,4,3,4,3,Formal Education,Formal Education,On the Job Training,Mentorship,Self Taught,Online Courses,Other,Online Courses,Yes,"Technical Skills, Problem Solving Skills",2,Yes,Yes,"Technical Training, Problem-Solving Training, Leadership Training","Management Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:40:12,37,Male,Brand Manager,Fashion and Apparel,12,Master's Degree,Business,Yes,4,5,5,4,5,4,4,4,Online Courses,Online Courses,Online Courses,Online Courses,Online Courses,On the Job Training,On the Job Training,On the Job Training,Yes,"Technical Skills, Communication Skills, Interpersonal Skills, Problem Solving Skills, Leadership Skills",2,Yes,Yes,"Technical Training, Analytical Training, Management Training, Communication Training, Interpersonal Skills Training, Leadership Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Creative Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:43:09,33,Male,lecturer,Education,9,Master's Degree,Business,Yes,4,4,3,5,4,5,4,3,Online Courses,Online Courses,Online Courses,Online Courses,Self Taught,Online Courses,Self Taught,Self Taught,Yes,"Technical Skills, Analytical Skills, Management Skills, Leadership Skills",2,Yes,Yes,"Technical Training, Analytical Training, Management Training, Communication Training, Interpersonal Skills Training, Problem-Solving Training, Leadership Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 22:48:07,28,Male,Electrical Engineer,Construction,3,Bachelor's Degree,Engineering,No,4,4,3,3,2,3,4,3,Formal Education,Formal Education,On the Job Training,Self Taught,Online Courses,Mentorship,On the Job Training,Formal Education,Yes,"Technical Skills, Communication Skills, Problem Solving Skills",3,No,,"Management Training, Communication Training","Analytical Skills, Communication Skills, Problem-Solving Skills",Yes,"Online Courses, Workplace Training, Self Study",
2/15/2024 23:20:30,29,Male,youtuber,Media and ENtertainment,8,Bachelor's Degree,Business,Yes,4,4,4,4,5,4,3,4,Online Courses,Online Courses,Online Courses,Online Courses,Online Courses,Online Courses,Self Taught,Self Taught,Yes,"Technical Skills, Analytical Skills, Management Skills, Communication Skills, Creative Skills, Interpersonal Skills",2,Yes,Yes,"Technical Training, Analytical Training, Communication Training, Interpersonal Skills Training","Technical Skills, Analytical Skills, Communication Skills, Creative Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars",
2/15/2024 23:25:51,29,Male,Supervisor,Pharmaceutical,4,Bachelor's Degree,Business,No,3,2,4,4,3,4,3,4,On the Job Training,On the Job Training,Formal Education,On the Job Training,Self Taught,Mentorship,Formal Education,Self Taught,Yes,"Management Skills, Communication Skills, Problem Solving Skills, Leadership Skills",3,No,,"Management Training, Leadership Training","Management Skills, Communication Skills, Problem-Solving Skills, Leadership Skills",Yes,"Further Education, Self Study",
2/15/2024 23:32:12,30,Male,Sales Executive,Finance and Banking,6,Bachelor's Degree,Business,No,2,3,3,4,4,4,3,2,Formal Education,Self Taught,Formal Education,On the Job Training,Self Taught,On the Job Training,On the Job Training,Mentorship,Yes,"Analytical Skills, Creative Skills, Leadership Skills",3,Yes,Yes,"Management Training, Communication Training, Interpersonal Skills Training, Leadership Training","Management Skills, Communication Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars, Mentorship",
2/15/2024 23:36:31,26,Female,Photographer,Media and ENtertainment,6,Vocation Training,Computer Science,No,3,2,2,3,4,3,2,2,Self Taught,On the Job Training,Online Courses,On the Job Training,Self Taught,Mentorship,Formal Education,Online Courses,Yes,"Communication Skills, Creative Skills, Interpersonal Skills, Leadership Skills",3,No,,"Analytical Training, Management Training, Communication Training, Creative Training","Technical Skills, Management Skills, Creative Skills, Problem-Solving Skills, Leadership Skills",Yes,"Online Courses, Self Study, Workshops and Seminars",
2/15/2024 23:37:35,28,Male,Entrepreneur ,Information Technology,5,Bachelor's Degree,Computer Science,Yes,5,5,5,5,5,5,5,5,Mentorship,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Mentorship,Mentorship,Mentorship,Yes,"Technical Skills, Analytical Skills, Management Skills, Communication Skills, Creative Skills, Interpersonal Skills, Problem Solving Skills, Leadership Skills, ",2,Yes,Yes,"Technical Training, Analytical Training, Management Training, Communication Training, Creative Training, Interpersonal Skills Training, Problem-Solving Training, Leadership Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Creative Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills, ",Yes,"Workplace Training, Self Study, Mentorship",
2/16/2024 10:58:14,28,Male,Engineer,Construction,5,Master's Degree,Engineering,No,5,5,5,5,4,5,4,5,Mentorship,Online Courses,Other,Online Courses,Other,Other,Online Courses,Other,Yes,"Analytical Skills, Interpersonal Skills",5,Yes,Yes,Interpersonal Skills Training,Creative Skills,Yes,Workshops and Seminars,
2/16/2024 21:28:26,29,Female,HR Manager,Information Technology,6,Bachelor's Degree,Business,No,3,3,4,4,2,4,2,4,Formal Education,Self Taught,On the Job Training,Mentorship,Other,On the Job Training,On the Job Training,Mentorship,Yes,"Communication Skills, Problem Solving Skills",3,No,Yes,"Communication Training, Interpersonal Skills Training, Leadership Training","Analytical Skills, Communication Skills, Problem-Solving Skills",Yes,"Online Courses, Self Study",
2/17/2024 6:02:38,28,Female,Teacher ,Education,3,Bachelor's Degree,Computer Science,Yes,5,4,4,5,4,4,4,5,Self Taught,On the Job Training,Self Taught,Self Taught,Self Taught,Other,Other,Self Taught,Yes,"Analytical Skills, Creative Skills",3,No,,Problem-Solving Training,"Management Skills, Communication Skills, Problem-Solving Skills",Yes,Self Study,
2/17/2024 6:13:45,28,Female,Executive Microbiologist,Pharmaceutical,3 years,Master's Degree,Natural Sciences,Yes,5,4,4,5,5,5,4,5,On the Job Training,Formal Education,Self Taught,Self Taught,Self Taught,Self Taught,Self Taught,Self Taught,No,,4,Yes,Yes,"Problem-Solving Training, Leadership Training",Leadership Skills,Yes,"Workplace Training, Self Study",
2/17/2024 6:38:57,26,Female,Management Assistant ,Education,2,Bachelor's Degree,Business,Yes,3,3,3,3,3,3,3,3,Self Taught,Self Taught,Self Taught,Self Taught,Self Taught,Self Taught,Self Taught,Self Taught,Yes,Management Skills,4,Yes,Yes,Management Training,Management Skills,Yes,Workshops and Seminars,No
2/17/2024 6:52:12,31,Female,Assistant Registrar ,Education,7,Master's Degree,Business,Yes,5,5,5,5,5,5,5,5,On the Job Training,Formal Education,Formal Education,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,No,,1,Yes,Yes,Creative Training,Creative Skills,Yes,Online Courses,
2/18/2024 7:38:18,30,Male,Associate technical lead,Information Technology,6,Bachelor's Degree,Engineering,No,3,3,2,3,3,2,3,3,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,On the Job Training,Yes,Management Skills,2,Yes,Yes,"Management Training, Leadership Training","Management Skills, Leadership Skills",Yes,"Workplace Training, Self Study, Mentorship",
2/18/2024 8:09:00,25,Male,Senior software engineer,Information Technology,3+,Master's Degree,Computer Science,No,5,4,4,5,2,5,5,5,On the Job Training,Self Taught,Mentorship,On the Job Training,Self Taught,On the Job Training,Self Taught,Self Taught,Yes,"Analytical Skills, Communication Skills, Interpersonal Skills",4,Yes,Yes,"Management Training, Communication Training, Interpersonal Skills Training, Leadership Training","Technical Skills, Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Workplace Training, Self Study, Workshops and Seminars, Mentorship",
2/18/2024 9:18:29,26,Female,Software engineer ,Information Technology,3,Bachelor's Degree,Computer Science,Yes,5,4,3,4,3,4,5,3,"Formal Education, On the Job Training, Self Taught, Online Courses, Mentorship, Other","On the Job Training, Self Taught, Mentorship, Other","On the Job Training, Self Taught, Mentorship, Other","Formal Education, On the Job Training, Self Taught, Mentorship, Other","Self Taught, Other","Self Taught, Other","Formal Education, On the Job Training, Self Taught, Online Courses, Mentorship, Other","On the Job Training, Self Taught, Mentorship, Other",Yes,Management Skills,2,No,,"Analytical Training, Management Training, Interpersonal Skills Training, Problem-Solving Training","Management Skills, Communication Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Workplace Training, Workshops and Seminars, Mentorship",
2/18/2024 9:19:58,26,Male,Software Engineer ,Information Technology,2,Bachelor's Degree,Computer Science,No,2,2,1,2,2,2,2,1,"Formal Education, Self Taught, Online Courses, Mentorship","On the Job Training, Self Taught, Mentorship",On the Job Training,"On the Job Training, Mentorship",Self Taught,Self Taught,"On the Job Training, Self Taught, Mentorship","On the Job Training, Self Taught",Yes,"Communication Skills, Interpersonal Skills",3,No,No,"Technical Training, Analytical Training, Interpersonal Skills Training, Problem-Solving Training","Management Skills, Problem-Solving Skills, Leadership Skills",Yes,"Further Education, Online Courses, Workplace Training, Self Study, Mentorship",
2/18/2024 9:41:47,34,Female,Senior Software Engineer ,Information Technology,10,Bachelor's Degree,Computer Science,Yes,5,5,4,5,3,4,5,5,"Formal Education, On the Job Training, Self Taught, Online Courses, Mentorship","On the Job Training, Self Taught, Mentorship","On the Job Training, Self Taught, Mentorship","Formal Education, On the Job Training, Self Taught",Other,"On the Job Training, Self Taught, Mentorship","On the Job Training, Self Taught, Mentorship","On the Job Training, Self Taught, Online Courses, Mentorship",Yes,Technical Skills,4,Yes,Yes,"Technical Training, Analytical Training, Communication Training, Interpersonal Skills Training, Problem-Solving Training","Technical Skills, Communication Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Online Courses, Self Study, Workshops and Seminars, Mentorship",
2/18/2024 11:19:47,33,Male,Technical Lead,Information Technology,8.5 years,Bachelor's Degree,Computer Science,Yes,5,5,5,5,4,5,5,5,"Formal Education, On the Job Training, Self Taught, Online Courses, Mentorship, Other","Self Taught, Mentorship, Other","On the Job Training, Self Taught, Mentorship, Other","Formal Education, On the Job Training, Self Taught, Other","Self Taught, Mentorship, Other","Self Taught, Online Courses, Mentorship, Other","Formal Education, Self Taught, Other","On the Job Training, Self Taught, Mentorship, Other",Yes,"Management Skills, Communication Skills",4,Yes,Yes,"Management Training, Communication Training, Leadership Training","Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Online Courses, Workplace Training, Self Study, Workshops and Seminars, Mentorship",
2/18/2024 11:33:38,26,Male,Software engineer ,Information Technology,4,Bachelor's Degree,Computer Science,No,3,4,3,3,3,2,4,4,"On the Job Training, Self Taught, Online Courses, Mentorship","On the Job Training, Self Taught, Mentorship","On the Job Training, Mentorship","On the Job Training, Self Taught, Mentorship, Other","On the Job Training, Self Taught, Mentorship","On the Job Training, Mentorship","On the Job Training, Self Taught, Mentorship","On the Job Training, Self Taught, Mentorship",Yes,"Communication Skills, Creative Skills, Interpersonal Skills",2,Yes,Yes,"Analytical Training, Management Training, Communication Training, Interpersonal Skills Training, Problem-Solving Training","Analytical Skills, Management Skills, Communication Skills, Interpersonal Skills, Problem-Solving Skills, Leadership Skills",Yes,"Further Education, Online Courses, Workplace Training, Self Study, Workshops and Seminars, Mentorship",Non